"system","dataset","metric","score"
"dt","titanic","acc","0.814024390243902"
"lr","titanic","acc","0.789634146341463"
"plr","titanic","acc","0.795731707317073"
"dt","adult","acc","0.844368013757524"
"lr","adult","acc","0.85738852720796"
"plr","adult","acc","0.858125537403267"
"dt","hmda","acc","0.568585780525502"
"lr","hmda","acc","0.565494590417311"
"plr","hmda","acc","0.530139103554869"
"dt","titanic","precision","0.842105263157895"
"lr","titanic","precision","0.734042553191489"
"plr","titanic","precision","0.75"
"dt","adult","precision","0.760703363914373"
"lr","adult","precision","0.74748743718593"
"plr","adult","precision","0.745364647713226"
"dt","hmda","precision","0.571532846715328"
"lr","hmda","precision","0.54907306434024"
"plr","hmda","precision","0.499650593990217"
"dt","titanic","recall","0.566371681415929"
"lr","titanic","recall","0.610619469026549"
"plr","titanic","recall","0.610619469026549"
"dt","adult","recall","0.510518214468958"
"lr","adult","recall","0.610569522832222"
"plr","adult","recall","0.618778860954336"
"dt","hmda","recall","0.322354878550844"
"lr","hmda","recall","0.414573898723755"
"plr","hmda","recall","0.883079456566488"
"dt","titanic","f1","0.677248677248677"
"lr","titanic","f1","0.666666666666667"
"plr","titanic","f1","0.673170731707317"
"dt","adult","f1","0.610991710162726"
"lr","adult","f1","0.672126517932787"
"plr","adult","f1","0.676198486122792"
"dt","hmda","f1","0.412213740458015"
"lr","hmda","f1","0.472437250762374"
"plr","hmda","f1","0.638202915798869"
"dt","titanic","auc","0.840461000205804"
"lr","titanic","auc","0.752541675241819"
"plr","titanic","auc","0.755217122864787"
"dt","adult","auc","0.843394810563424"
"lr","adult","auc","0.907999182645841"
"plr","adult","auc","0.911900838964658"
"dt","hmda","auc","0.57496437222657"
"lr","hmda","auc","0.598104852735785"
"plr","hmda","auc","0.550567758862058"
"dt","titanic","dpr","0.0456608811748999"
"lr","titanic","dpr","0.0428617466967451"
"plr","titanic","dpr","0.0577637653417408"
"dt","adult","dpr","0.287409976513916"
"lr","adult","dpr","0.305561537865148"
"plr","adult","dpr","0.309897525061459"
"dt","hmda","dpr","0.742945549288711"
"lr","hmda","dpr","0.756785209970179"
"plr","hmda","dpr","0.883745457095112"
